2021,2019,2015,2013,2010,2009,2008,2007,2005,2004
"(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or fewer, is a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, is subject to the rules established under this article 2 by the commission. No additional regulatory authority is provided to the commission other than that specifically contained in this section. In accordance with article 4 of title 24, the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or fewer, is a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, is subject to the rules established under this article 2 by the commission. No additional regulatory authority is provided to the commission other than that specifically contained in this section. In accordance with article 4 of title 24, the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or fewer, is a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, is subject to the rules established under this article by the commission. No additional regulatory authority is provided to the commission other than that specifically contained in this section. In accordance with article 4 of title 24, C.R.S., the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or fewer, is a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, is subject to the rules established under this article by the commission. No additional regulatory authority is provided to the commission other than that specifically contained in this section. In accordance with article 4 of title 24, C.R.S., the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or fewer, shall be considered a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, shall be subject to the rules established under this article by the commission. No additional regulatory authority of the commission other than that specifically contained in this section is provided or implied. In accordance with article 4 of title 24, C.R.S., the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or less, shall be considered a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, shall be subject to the rules established under this article by the commission. No additional regulatory authority of the commission other than that specifically contained in this section is provided or implied. In accordance with article 4 of title 24, C.R.S., on or before October 1, 2007, the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or less, shall be considered a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, shall be subject to the rules established under this article by the commission. No additional regulatory authority of the commission other than that specifically contained in this section is provided or implied. In accordance with article 4 of title 24, C.R.S., on or before October 1, 2007, the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, other than municipally owned utilities that serve forty thousand customers or less, shall be considered a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, shall be subject to the rules established under this article by the commission. No additional regulatory authority of the commission other than that specifically contained in this section is provided or implied. In accordance with article 4 of title 24, C.R.S., on or before October 1, 2007, the commission shall revise or clarify existing rules to establish the following:","(1) Each provider of retail electric service in the state of Colorado, that serves over forty thousand customers, shall be considered a qualifying retail utility. Each qualifying retail utility, with the exception of cooperative electric associations that have voted to exempt themselves from commission jurisdiction pursuant to section 40-9.5-104 and municipally owned utilities, shall be subject to the rules established under this article by the commission. No additional regulatory authority of the commission other than that specifically contained herein is provided or implied. In accordance with article 4 of title 24, C.R.S., on or before April 1, 2005 the commission shall initiate one or more rule-making processes to establish the following:","(1) ) Each provider of retail electric service in the state of Colorado that serves over 40,000 customers shall be considered a qualifying retail utility and shall be subject to the rules established under this article by the Public Utilities commission of the State of Colorado (Commission). No additional regulatory authority of the commission other than that specifically contained herein is provided or implied. In accordance with article 4 of title 24, C.R.S., on or before April 1, 2005, the commission shall initiate one or more rule-making processes to establish the following:"
"(a) Definitions of eligible energy resources that can be used to meet the standards. “Eligible energy resources” means recycled energy, renewable energy resources, and renewable energy storage. In addition, resources using coal mine methane and synthetic gas produced by pyrolysis of waste materials are eligible energy resources if the commission determines that the electricity generated by those resources is greenhouse gas neutral. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources. As used in this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. “Eligible energy resources” means recycled energy and renewable energy resources. In addition, resources using coal mine methane and synthetic gas produced by pyrolysis of municipal solid waste are eligible energy resources if the commission determines that the electricity generated by those resources is greenhouse gas neutral. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources For purposes of this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. “Eligible energy resources” means recycled energy and renewable energy resources. In addition, resources using coal mine methane and synthetic gas produced by pyrolysis of municipal solid waste are eligible energy resources if the commission determines that the electricity generated by those resources is greenhouse gas neutral. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources For purposes of this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. “Eligible energy resources” means recycled energy and renewable energy resources. In addition, resources using coal mine methane and synthetic gas produced by pyrolysis of municipal solid waste are eligible energy resources if the commission determines that the electricity generated by those resources is greenhouse gas neutral. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources For purposes of this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. “Eligible energy resources” means recycled energy and renewable energy resources.The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources For purposes of this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. ""Eligible energy resources"" means recycled energy and renewable energy resources. ""Renewable energy resources"" means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources. For purposes of this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. ""Eligible energy resources"" means recycled energy and renewable energy resources. ""Renewable energy resources"" means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources. For purposes of this section:","(a) Definitions of eligible energy resources that can be used to meet the standards. ""Eligible energy resources"" means recycled energy and renewable energy resources. ""Renewable energy resources"" means solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from an eligible energy resource is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible energy resources. For purposes of this section:","(a) Definitions of eligible renewable energy resources that can be used to meet the standards. ""Eligible renewable energy resources"" are ""solar, wind, geothermal, biomass, new hydroelectricity with a nameplate rating of ten megawatts or less, and hydroelectricity in existence on January 1, 2005, with a nameplate rating of thirty megawatts or less. The commission shall determine, following an evidentiary hearing, the extent to which such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from these eligible resources is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible resources. Further:
","(a) Definitions of eligible renewable energy resources that can be used to meet the standards. Eligible renewable energy resources are solar, wind, geothermal, biomass, and NEW hydroelectricity with a nameplate rating of 10 megawatts or less. The commission shall determine, following an evidentiary hearing, the extent that such electric generation technologies utilized in an optional pricing program may be used to comply with this standard. A fuel cell using hydrogen derived from these eligible resources is also an eligible electric generation technology. Fossil and nuclear fuels and their derivatives are not eligible resources. Further, ""biomass"" shall be defined to mean:"
(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” means:,(I) “Biomass” shall be defined to mean:,(I) “Biomass” shall be defined to mean:
"(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter consisting of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;","(A) Nontoxic plant matter that is a byproduct of agricultural crops or their by-products, urban wood waste, mill residue, slash, or brush;"
(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or,(B) Animal wastes and products of animal wastes; or
(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.,(C) Methane produced at landfills or as a by-product of the treatment of wastewater residuals.
"(II) “Coal mine methane” means methane captured from active and inactive coal mines where the methane is escaping to the atmosphere. In the case of methane escaping from active mines, only methane vented in the normal course of mine operations that is naturally escaping to the atmosphere is coal mine methane for purposes of eligibility under this section.","(II) “Coal mine methane” means methane captured from active and inactive coal mines where the methane is escaping to the atmosphere. In the case of methane escaping from active mines, only methane vented in the normal course of mine operations that is naturally escaping to the atmosphere is coal mine methane for purposes of eligibility under this section.","(II) “Coal mine methane” means methane captured from active and inactive coal mines where the methane is escaping to the atmosphere. In the case of methane escaping from active mines, only methane vented in the normal course of mine operations that is naturally escaping to the atmosphere is coal mine methane for purposes of eligibility under this section.","(II) “Coal mine methane” means methane captured from active and inactive coal mines where the methane is escaping to the atmosphere. In the case of methane escaping from active mines, only methane vented in the normal course of mine operations that is naturally escaping to the atmosphere is coal mine methane for purposes of eligibility under this section.",,,,,,
(III) “Distributed renewable electric generation” or “distributed generation” means:,(III) “Distributed renewable electric generation” or “distributed generation” means:,(III) “Distributed renewable electric generation” or “distributed generation” means:,(III) “Distributed renewable electric generation” or “distributed generation” means:,(II) “Distributed renewable electric generation” or “distributed generation” means:,,,,,
(A) Retail distributed generation; and,(A) Retail distributed generation; and,(A) Retail distributed generation; and,(A) Retail distributed generation; and,(A) Retail distributed generation; and,,,,,
(B) Wholesale distributed generation.,(B) Wholesale distributed generation.,(B) Wholesale distributed generation.,(B) Wholesale distributed generation.,(B) Wholesale distributed generation.,,,,,
