ID," P.A. 102-662, § 90-50, eff. Sept. 15, 2021."," P.A. 99-906, § 15, eff. June 1, 2017;","P.A. 97-824, § 5, eff. July 18, 2012;","P.A. 97-646, § 5, eff. Dec. 30, 2011","P.A. 97-616, § 10, eff. Oct. 26, 2011","P.A. 95-420, § 5, eff. Aug. 24, 2007",,,,,,,,,,,,,,,,,,
1,§ 16–107.5. Net electricity metering.,§ 16–107.5. Net electricity metering.,§ 16–107.5. Net electricity metering.,§ 16–107.5. Net electricity metering.,§ 16–107.5. Net electricity metering.,§ 16–107.5. Net electricity metering.,,,,,,,,,,,,,,,,,,
2,"(a) The General Assembly finds and declares that a program to provide net electricity metering, as defined in this Section, for eligible customers can encourage private investment in renewable energy resources, stimulate economic growth, enhance the continued diversification of Illinois' energy resource mix, and protect the Illinois environment. Further, to achieve the goals of this Act that robust options for customer-site distributed generation continue to thrive in Illinois, the General Assembly finds that a predictable transition must be ensured for customers between full net metering at the retail electricity rate to the distribution generation rebate described in Section 16–107.6.","(a) The Legislature finds and declares that a program to provide net electricity metering, as defined in this Section, for eligible customers can encourage private investment in renewable energy resources, stimulate economic growth, enhance the continued diversification of Illinois' energy resource mix, and protect the Illinois environment.","(a) The Legislature finds and declares that a program to provide net electricity metering, as defined in this Section, for eligible customers can encourage private investment in renewable energy resources, stimulate economic growth, enhance the continued diversification of Illinois' energy resource mix, and protect the Illinois environment.","(a) The Legislature finds and declares that a program to provide net electricity metering, as defined in this Section, for eligible customers can encourage private investment in renewable energy resources, stimulate economic growth, enhance the continued diversification of Illinois' energy resource mix, and protect the Illinois environment.","(a) The Legislature finds and declares that a program to provide net electricity metering, as defined in this Section, for eligible customers can encourage private investment in renewable energy resources, stimulate economic growth, enhance the continued diversification of Illinois' energy resource mix, and protect the Illinois environment.","(a) The Legislature finds and declares that a program to provide net electricity metering, as defined in this Section, for eligible customers can encourage private investment in renewable energy resources, stimulate economic growth, enhance the continued diversification of Illinois' energy resource mix, and protect the Illinois environment.",,,,,,,,,,,,,,,,,,
3,"(b) As used in this Section, (i) “community renewable generation project” shall have the meaning set forth in Section 1–10 of the Illinois Power Agency Act; (ii) “eligible customer” means a retail customer that owns, hosts,  or operates, including any third-party owned systems, a solar, wind, or other eligible renewable electrical generating facility  that is located on the customer's premises or customer's side of the billing meter and is intended primarily to offset the customer's own current or future electrical requirements; (iii) “electricity provider” means an electric utility or alternative retail electric supplier; (iv) “eligible renewable electrical generating facility” means a generator, which may include the co-location of an energy storage system, that is interconnected under rules adopted by the Commission and is powered by solar electric energy, wind, dedicated crops grown for electricity generation, agricultural residues, untreated and unadulterated wood waste, livestock manure, anaerobic digestion of livestock or food processing waste, fuel cells or microturbines powered by renewable fuels, or hydroelectric energy; and (v) “net electricity metering” (or “net metering”) means the measurement, during the billing period applicable to an eligible customer, of the net amount of electricity supplied by an electricity provider to the customer or provided to the electricity provider by the customer or subscriber; (vi) “subscriber” shall have the meaning as set forth in Section 1–10 of the Illinois Power Agency Act; (vii) “subscription” shall have the meaning set forth in Section 1–10 of the Illinois Power Agency Act; (viii) “energy storage system” means commercially available technology that is capable of absorbing energy and storing it for a period of time for use at a later time, including, but not limited to, electrochemical, thermal, and electromechanical technologies, and may be interconnected behind the customer's meter or interconnected behind its own meter; and (ix) “future electrical requirements” means modeled electrical requirements upon occupation of a new or vacant property, and other reasonable expectations of future electrical use, as well as, for occupied properties, a reasonable approximation of the annual load of 2 electric vehicles and, for non-electric heating customers, a reasonable approximation of the incremental electric load associated with fuel switching. The approximations shall be applied to the appropriate net metering tariff and do not need to be unique to each individual eligible customer. The utility shall submit these approximations to the Commission for review, modification, and approval.","(b) As used in this Section, (i) “community renewable generation project” shall have the meaning set forth in Section 1–10 of the Illinois Power Agency Act; (ii) “eligible customer” means a retail customer that owns or operates a solar, wind, or other eligible renewable electrical generating facility with a rated capacity of not more than 2,000 kilowatts that is located on the customer's premises and is intended primarily to offset the customer's own electrical requirements; (iii) “electricity provider” means an electric utility or alternative retail electric supplier; (iv) “eligible renewable electrical generating facility” means a generator that is interconnected under rules adopted by the Commission and is powered by solar electric energy, wind, dedicated crops grown for electricity generation, agricultural residues, untreated and unadulterated wood waste, landscape trimmings, livestock manure, anaerobic digestion of livestock or food processing waste, fuel cells or microturbines powered by renewable fuels, or hydroelectric energy; and (iv) “net electricity metering” (or “net metering”) means the measurement, during the billing period applicable to an eligible customer, of the net amount of electricity supplied by an electricity provider to the customer's premises or provided to the electricity provider by the customer or subscriber; (vi) “subscriber” shall have the meaning as set forth in Section 1–10 of the Illinois Power Agency Act; and (vii) “subscription” shall have the meaning set forth in Section 1–10 of the Illinois Power Agency Act.","(b) As used in this Section, (i) “eligible customer” means a retail customer that owns or operates a solar, wind, or other eligible renewable electrical generating facility with a rated capacity of not more than 2,000 kilowatts that is located on the customer's premises and is intended primarily to offset the customer's own electrical requirements; (ii) “electricity provider” means an electric utility or alternative retail electric supplier; (iii) “eligible renewable electrical generating facility” means a generator powered by solar electric energy, wind, dedicated crops grown for electricity generation, agricultural residues, untreated and unadulterated wood waste, landscape trimmings, livestock manure, anaerobic digestion of livestock or food processing waste, fuel cells or microturbines powered by renewable fuels, or hydroelectric energy; and (iv) “net electricity metering” (or “net metering”) means the measurement, during the billing period applicable to an eligible customer, of the net amount of electricity supplied by an electricity provider to the customer's premises or provided to the electricity provider by the customer.","(b) As used in this Section, (i) “eligible customer” means a retail customer that owns or operates a solar, wind, or other eligible renewable electrical generating facility with a rated capacity of not more than 2,000 kilowatts that is located on the customer's premises and is intended primarily to offset the customer's own electrical requirements; (ii) “electricity provider” means an electric utility or alternative retail electric supplier; (iii) “eligible renewable electrical generating facility” means a generator powered by solar electric energy, wind, dedicated crops grown for electricity generation, agricultural residues, untreated and unadulterated wood waste, landscape trimmings, livestock manure, anaerobic digestion of livestock or food processing waste, fuel cells or microturbines powered by renewable fuels, or hydroelectric energy; and (iv) “net electricity metering” (or “net metering”) means the measurement, during the billing period applicable to an eligible customer, of the net amount of electricity supplied by an electricity provider to the customer's premises or provided to the electricity provider by the customer.","(b) As used in this Section, (i) “eligible customer” means a retail customer that owns or operates a solar, wind, or other eligible renewable electrical generating facility with a rated capacity of not more than 2,000 kilowatts that is located on the customer's premises and is intended primarily to offset the customer's own electrical requirements; (ii) “electricity provider” means an electric utility or alternative retail electric supplier; (iii) “eligible renewable electrical generating facility” means a generator powered by solar electric energy, wind, dedicated crops grown for electricity generation, agricultural residues, untreated and unadulterated wood waste, landscape trimmings, livestock manure, anaerobic digestion of livestock or food processing waste, fuel cells or microturbines powered by renewable fuels, or hydroelectric energy; and (iv) “net electricity metering” (or “net metering”) means the measurement, during the billing period applicable to an eligible customer, of the net amount of electricity supplied by an electricity provider to the customer's premises or provided to the electricity provider by the customer.","(b) As used in this Section, (i) “eligible customer” means a retail customer that owns or operates a solar, wind, or other eligible renewable electrical generating facility with a rated capacity of not more than 2,000 kilowatts that is located on the customer's premises and is intended primarily to offset the customer's own electrical requirements; (ii) “electricity provider” means an electric utility or alternative retail electric supplier; (iii) “eligible renewable electrical generating facility” means a generator powered by solar electric energy, wind, dedicated crops grown for electricity generation, anaerobic digestion of livestock or food processing waste, fuel cells or microturbines powered by renewable fuels, or hydroelectric energy; and (iv) “net electricity metering” (or “net metering”) means the measurement, during the billing period applicable to an eligible customer, of the net amount of electricity supplied by an electricity provider to the customer's premises or provided to the electricity provider by the customer.",,,,,,,,,,,,,,,,,,
4,(c) A net metering facility shall be equipped with metering equipment that can measure the flow of electricity in both directions at the same rate.,(c) A net metering facility shall be equipped with metering equipment that can measure the flow of electricity in both directions at the same rate.,(c) A net metering facility shall be equipped with metering equipment that can measure the flow of electricity in both directions at the same rate.,(c) A net metering facility shall be equipped with metering equipment that can measure the flow of electricity in both directions at the same rate.,(c) A net metering facility shall be equipped with metering equipment that can measure the flow of electricity in both directions at the same rate.,"(c) A net metering facility shall be equipped with metering equipment that can measure the flow of electricity in both directions at the same rate. For eligible residential customers, this shall typically be accomplished through use of a single, bi-directional meter. If the eligible customer's existing electric revenue meter does not meet this requirement, the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense. For non-residential customers, the electricity provider may arrange for the local electric utility or a meter service provider to install and maintain metering equipment capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio, typically through the use of a dual channel meter. For generators with a nameplate rating of 40 kilowatts and below, the costs of installing such equipment shall be paid for by the electricity provider. For generators with a nameplate rating over 40 kilowatts and up to 2,000 kilowatts capacity, the costs of installing such equipment shall be paid for by the customer. Any subsequent revenue meter change necessitated by any eligible customer shall be paid for by the customer.",,,,,,,,,,,,,,,,,,
5,"(1) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a single, bi-directional meter. If the eligible customer's existing electric revenue meter does not meet this requirement, the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense, which may be the smart meter described by subsection (b) of Section 16–108.5 of this Act.","(1) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a single, bi-directional meter. If the eligible customer's existing electric revenue meter does not meet this requirement, the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense, which may be the smart meter described by subsection (b) of Section 16–108.5 of this Act.","(1) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a single, bi-directional meter. If the eligible customer's existing electric revenue meter does not meet this requirement, the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense.","(1) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a single, bi-directional meter. If the eligible customer's existing electric revenue meter does not meet this requirement, the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense.","(1) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a single, bi-directional meter. If the eligible customer's existing electric revenue meter does not meet this requirement, the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense.",,,,,,,,,,,,,,,,,,,
6,"(2) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a dual channel meter capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio. If such customer's existing electric revenue meter does not meet this requirement, then the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense, which may be the smart meter described by subsection (b) of Section 16–108.5 of this Act.","(2) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a dual channel meter capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio. If such customer's existing electric revenue meter does not meet this requirement, then the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense, which may be the smart meter described by subsection (b) of Section 16–108.5 of this Act.","(2) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a dual channel meter capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio. If such customer's existing electric revenue meter does not meet this requirement, then the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense.","(2) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a dual channel meter capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio. If such customer's existing electric revenue meter does not meet this requirement, then the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense.","(2) For eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act and whose electric delivery service is provided and measured on a kilowatt demand basis and electric supply service is not provided based on hourly pricing, this shall typically be accomplished through use of a dual channel meter capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio. If such customer's existing electric revenue meter does not meet this requirement, then the electricity provider shall arrange for the local electric utility or a meter service provider to install and maintain a new revenue meter at the electricity provider's expense.",,,,,,,,,,,,,,,,,,,
7,"(3) For all other eligible customers, until such time as the local electric utility installs a smart meter, as described by subsection (b) of Section 16–108.5 of this Act, the electricity provider may arrange for the local electric utility or a meter service provider to install and maintain metering equipment capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio, typically through the use of a dual channel meter. If the eligible customer's existing electric revenue meter does not meet this requirement, then the costs of installing such equipment shall be paid for by the customer. ","(3) For all other eligible customers, until such time as the local electric utility installs a smart meter, as described by subsection (b) of Section 16–108.5 of this Act, the electricity provider may arrange for the local electric utility or a meter service provider to install and maintain metering equipment capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio, typically through the use of a dual channel meter. If the eligible customer's existing electric revenue meter does not meet this requirement, then the costs of installing such equipment shall be paid for by the customer. ","(3) For all other eligible customers, the electricity provider may arrange for the local electric utility or a meter service provider to install and maintain metering equipment capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio, typically through the use of a dual channel meter. If the eligible customer's existing electric revenue meter does not meet this requirement, then the costs of installing such equipment shall be paid for by the customer. ","(3) For all other eligible customers, the electricity provider may arrange for the local electric utility or a meter service provider to install and maintain metering equipment capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio, typically through the use of a dual channel meter. If the eligible customer's existing electric revenue meter does not meet this requirement, then the costs of installing such equipment shall be paid for by the customer. ","(3) For all other eligible customers, the electricity provider may arrange for the local electric utility or a meter service provider to install and maintain metering equipment capable of measuring the flow of electricity both into and out of the customer's facility at the same rate and ratio, typically through the use of a dual channel meter. If the eligible customer's existing electric revenue meter does not meet this requirement, then the costs of installing such equipment shall be paid for by the customer. ",,,,,,,,,,,,,,,,,,,
8,"(d) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing in the following manner:","(d) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of this Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing in the following manner:","(d) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of the Act as of July 1, 2011 and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing in the following manner:",(d) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of the Act and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing in the following manner:,(d) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers whose electric service has not been declared competitive pursuant to Section 16–113 of the Act and whose electric delivery service is provided and measured on a kilowatt-hour basis and electric supply service is not provided based on hourly pricing in the following manner:,(d) An electricity provider shall measure and charge or credit for the net electricity supplied to eligible customers or provided by eligible customers in the following manner:,,,,,,,,,,,,,,,,,,
9,"(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e-5) of this Section.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e-5) of this Section.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e-5) of this Section.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e-5) of this Section.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e-5) of this Section.","(1) If the amount of electricity used by the customer during the billing period exceeds the amount of electricity produced by the customer, the electricity provider shall charge the customer for the net electricity supplied to and used by the customer as provided in subsection (e) of this Section.",,,,,,,,,,,,,,,,,,
10,"(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.","(2) If the amount of electricity produced by a customer during the billing period exceeds the amount of electricity used by the customer during that billing period, the electricity provider supplying that customer shall apply a 1:1 kilowatt-hour credit to a subsequent bill for service to the customer for the net electricity supplied to the electricity provider. The electricity provider shall continue to carry over any excess kilowatt-hour credits earned and apply those credits to subsequent billing periods to offset any customer-generator consumption in those billing periods until all credits are used or until the end of the annualized period.",,,,,,,,,,,,,,,,,,
